,zodiac1,zodiac2,bad_match,Compatibility_rate
0,Aries,Aries,0,0.5
1,Aries,Taurus,0,0.38
2,Aries,Gemini,0,0.83
3,Aries,Cancer,0,0.42
4,Aries,Leo,0,0.97
5,Aries,Virgo,0,0.63
6,Aries,Libra,0,0.85
7,Aries,Scorpio,0,0.5
8,Aries,Sagittarius,0,0.93
9,Aries,Capricorn,0,0.47
10,Aries,Aquarius,0,0.78
11,Aries,Pisces,0,0.67
12,Taurus,Aries,0,0.38
13,Taurus,Taurus,1,0.58
14,Taurus,Gemini,0,0.33
15,Taurus,Cancer,1,0.97
16,Taurus,Leo,1,0.73
17,Taurus,Virgo,0,0.9
18,Taurus,Libra,0,0.65
19,Taurus,Scorpio,0,0.88
20,Taurus,Sagittarius,1,0.3
21,Taurus,Capricorn,1,0.98
22,Taurus,Aquarius,1,0.58
23,Taurus,Pisces,1,0.85
24,Gemini,Aries,0,0.83
25,Gemini,Taurus,0,0.33
26,Gemini,Gemini,0,0.6
27,Gemini,Cancer,0,0.65
28,Gemini,Leo,1,0.88
29,Gemini,Virgo,0,0.68
30,Gemini,Libra,0,0.93
31,Gemini,Scorpio,0,0.28
32,Gemini,Sagittarius,1,0.6
33,Gemini,Capricorn,0,0.69
34,Gemini,Aquarius,0,0.85
35,Gemini,Pisces,1,0.53
36,Cancer,Aries,0,0.42
37,Cancer,Taurus,1,0.97
38,Cancer,Gemini,0,0.65
39,Cancer,Cancer,1,0.75
40,Cancer,Leo,1,0.35
41,Cancer,Virgo,0,0.9
42,Cancer,Libra,0,0.43
43,Cancer,Scorpio,0,0.94
44,Cancer,Sagittarius,1,0.53
45,Cancer,Capricorn,1,0.83
46,Cancer,Aquarius,1,0.27
47,Cancer,Pisces,1,0.98
48,Leo,Aries,0,0.97
49,Leo,Taurus,1,0.73
50,Leo,Gemini,1,0.88
51,Leo,Cancer,1,0.35
52,Leo,Leo,1,0.45
53,Leo,Virgo,1,0.35
54,Leo,Libra,0,0.97
55,Leo,Scorpio,0,0.58
56,Leo,Sagittarius,1,0.93
57,Leo,Capricorn,1,0.35
58,Leo,Aquarius,1,0.69
59,Leo,Pisces,1,0.38
60,Virgo,Aries,0,0.63
61,Virgo,Taurus,0,0.9
62,Virgo,Gemini,0,0.68
63,Virgo,Cancer,0,0.9
64,Virgo,Leo,1,0.35
65,Virgo,Virgo,0,0.65
66,Virgo,Libra,0,0.69
67,Virgo,Scorpio,0,0.88
68,Virgo,Sagittarius,0,0.48
69,Virgo,Capricorn,0,0.95
70,Virgo,Aquarius,0,0.3
71,Virgo,Pisces,1,0.88
72,Libra,Aries,0,0.85
73,Libra,Taurus,0,0.65
74,Libra,Gemini,0,0.93
75,Libra,Cancer,0,0.43
76,Libra,Leo,0,0.97
77,Libra,Virgo,0,0.68
78,Libra,Libra,0,0.75
79,Libra,Scorpio,0,0.35
80,Libra,Sagittarius,0,0.73
81,Libra,Capricorn,0,0.55
82,Libra,Aquarius,0,0.9
83,Libra,Pisces,0,0.88
84,Scorpio,Aries,0,0.5
85,Scorpio,Taurus,0,0.88
86,Scorpio,Gemini,0,0.28
87,Scorpio,Cancer,0,0.94
88,Scorpio,Leo,0,0.58
89,Scorpio,Virgo,0,0.88
90,Scorpio,Libra,0,0.35
91,Scorpio,Scorpio,0,0.8
92,Scorpio,Sagittarius,0,0.28
93,Scorpio,Capricorn,0,0.95
94,Scorpio,Aquarius,0,0.73
95,Scorpio,Pisces,0,0.97
96,Sagittarius,Aries,0,0.93
97,Sagittarius,Taurus,1,0.3
98,Sagittarius,Gemini,1,0.6
99,Sagittarius,Cancer,1,0.53
100,Sagittarius,Leo,1,0.93
101,Sagittarius,Virgo,0,0.48
102,Sagittarius,Libra,0,0.73
103,Sagittarius,Scorpio,0,0.28
104,Sagittarius,Sagittarius,1,0.45
105,Sagittarius,Capricorn,1,0.6
106,Sagittarius,Aquarius,1,0.9
107,Sagittarius,Pisces,1,0.63
108,Capricorn,Aries,0,0.47
109,Capricorn,Taurus,1,0.98
110,Capricorn,Gemini,0,0.68
111,Capricorn,Cancer,1,0.83
112,Capricorn,Leo,1,0.35
113,Capricorn,Virgo,0,0.95
114,Capricorn,Libra,0,0.55
115,Capricorn,Scorpio,0,0.95
116,Capricorn,Sagittarius,1,0.6
117,Capricorn,Capricorn,1,0.75
118,Capricorn,Aquarius,1,0.69
119,Capricorn,Pisces,1,0.88
120,Aquarius,Aries,0,0.78
121,Aquarius,Taurus,1,0.58
122,Aquarius,Gemini,0,0.85
123,Aquarius,Cancer,1,0.27
124,Aquarius,Leo,1,0.68
125,Aquarius,Virgo,0,0.3
126,Aquarius,Libra,0,0.9
127,Aquarius,Scorpio,0,0.73
128,Aquarius,Sagittarius,1,0.9
129,Aquarius,Capricorn,1,0.69
130,Aquarius,Aquarius,1,0.45
131,Aquarius,Pisces,1,0.45
132,Pisces,Aries,0,0.67
133,Pisces,Taurus,1,0.85
134,Pisces,Gemini,1,0.53
135,Pisces,Cancer,1,0.98
136,Pisces,Leo,1,0.38
137,Pisces,Virgo,1,0.88
138,Pisces,Libra,0,0.88
139,Pisces,Scorpio,0,0.97
140,Pisces,Sagittarius,1,0.63
141,Pisces,Capricorn,1,0.88
142,Pisces,Aquarius,1,0.45
143,Pisces,Pisces,1,0.6
